algorithm_name,env_n,size,best_solution,nodes,time
backtracking,0,4,True,5,2.6226043701171875e-05
forward_checking,0,4,True,5,5.030632019042969e-05
backtracking,1,4,True,13,3.075599670410156e-05
forward_checking,1,4,True,6,7.271766662597656e-05
backtracking,2,4,True,6,1.8835067749023438e-05
forward_checking,2,4,True,5,4.315376281738281e-05
backtracking,3,4,True,13,3.0040740966796875e-05
forward_checking,3,4,True,6,5.6743621826171875e-05
backtracking,4,4,True,9,2.1219253540039062e-05
forward_checking,4,4,True,6,6.29425048828125e-05
backtracking,5,4,True,6,1.6689300537109375e-05
forward_checking,5,4,True,6,6.413459777832031e-05
backtracking,6,4,True,5,1.4543533325195312e-05
forward_checking,6,4,True,6,6.031990051269531e-05
backtracking,7,4,True,7,2.288818359375e-05
forward_checking,7,4,True,5,5.078315734863281e-05
backtracking,8,4,True,10,2.3126602172851562e-05
forward_checking,8,4,True,5,5.2928924560546875e-05
backtracking,9,4,True,5,1.4066696166992188e-05
forward_checking,9,4,True,7,6.4849853515625e-05
backtracking,10,4,True,5,1.3589859008789062e-05
forward_checking,10,4,True,6,5.698204040527344e-05
backtracking,11,4,True,5,1.430511474609375e-05
forward_checking,11,4,True,6,5.7220458984375e-05
backtracking,12,4,True,5,1.4066696166992188e-05
forward_checking,12,4,True,6,5.745887756347656e-05
backtracking,13,4,True,17,3.552436828613281e-05
forward_checking,13,4,True,5,4.9114227294921875e-05
backtracking,14,4,True,5,1.3589859008789062e-05
forward_checking,14,4,True,5,4.00543212890625e-05
backtracking,15,4,True,11,2.6702880859375e-05
forward_checking,15,4,True,5,4.839897155761719e-05
backtracking,16,4,True,18,3.4332275390625e-05
forward_checking,16,4,True,6,6.532669067382812e-05
backtracking,17,4,True,9,2.1696090698242188e-05
forward_checking,17,4,True,7,6.079673767089844e-05
backtracking,18,4,True,9,2.0503997802734375e-05
forward_checking,18,4,True,6,5.626678466796875e-05
backtracking,19,4,True,6,1.5974044799804688e-05
forward_checking,19,4,True,5,3.933906555175781e-05
backtracking,20,4,True,10,2.5272369384765625e-05
forward_checking,20,4,True,6,5.626678466796875e-05
backtracking,21,4,True,14,2.8133392333984375e-05
forward_checking,21,4,True,5,4.506111145019531e-05
backtracking,22,4,True,5,1.2636184692382812e-05
forward_checking,22,4,True,5,5.1975250244140625e-05
backtracking,23,4,True,8,1.9550323486328125e-05
forward_checking,23,4,True,6,5.817413330078125e-05
backtracking,24,4,True,7,1.6927719116210938e-05
forward_checking,24,4,True,5,4.0531158447265625e-05
backtracking,25,4,True,5,1.4781951904296875e-05
forward_checking,25,4,True,5,3.933906555175781e-05
backtracking,26,4,True,7,2.0503997802734375e-05
forward_checking,26,4,True,5,5.078315734863281e-05
backtracking,27,4,True,5,1.3589859008789062e-05
forward_checking,27,4,True,7,6.389617919921875e-05
backtracking,28,4,True,5,1.3589859008789062e-05
forward_checking,28,4,True,5,4.029273986816406e-05
backtracking,29,4,True,9,2.288818359375e-05
forward_checking,29,4,True,7,5.984306335449219e-05
backtracking,0,8,True,68,0.00016498565673828125
forward_checking,0,8,True,25,0.00023818016052246094
backtracking,1,8,True,9,2.8848648071289062e-05
forward_checking,1,8,True,10,9.608268737792969e-05
backtracking,2,8,True,11,3.719329833984375e-05
forward_checking,2,8,True,10,0.00010228157043457031
backtracking,3,8,True,89,0.0002105236053466797
forward_checking,3,8,True,9,0.000102996826171875
backtracking,4,8,True,18,5.7697296142578125e-05
forward_checking,4,8,True,11,0.00011968612670898438
backtracking,5,8,True,101,0.00022649765014648438
forward_checking,5,8,True,10,0.00010013580322265625
backtracking,6,8,True,34,9.608268737792969e-05
forward_checking,6,8,True,16,0.0002086162567138672
backtracking,7,8,True,9,2.8371810913085938e-05
forward_checking,7,8,True,18,0.00017523765563964844
backtracking,8,8,True,69,0.00017333030700683594
forward_checking,8,8,True,13,0.00012826919555664062
backtracking,9,8,True,20,6.4849853515625e-05
forward_checking,9,8,True,15,0.00014138221740722656
backtracking,10,8,True,14,5.030632019042969e-05
forward_checking,10,8,True,15,0.0001838207244873047
backtracking,11,8,True,26,9.489059448242188e-05
forward_checking,11,8,True,12,0.00012683868408203125
backtracking,12,8,True,145,0.0003986358642578125
forward_checking,12,8,True,9,9.512901306152344e-05
backtracking,13,8,True,9,3.4809112548828125e-05
forward_checking,13,8,True,21,0.00019431114196777344
backtracking,14,8,True,11,3.504753112792969e-05
forward_checking,14,8,True,15,0.0001373291015625
backtracking,15,8,True,31,8.702278137207031e-05
forward_checking,15,8,True,9,9.608268737792969e-05
backtracking,16,8,True,13,4.363059997558594e-05
forward_checking,16,8,True,17,0.00014662742614746094
backtracking,17,8,True,9,2.6226043701171875e-05
forward_checking,17,8,True,21,0.00021910667419433594
backtracking,18,8,True,30,8.869171142578125e-05
forward_checking,18,8,True,9,9.059906005859375e-05
backtracking,19,8,True,9,2.8133392333984375e-05
forward_checking,19,8,True,9,9.131431579589844e-05
backtracking,20,8,True,14,4.553794860839844e-05
forward_checking,20,8,True,21,0.00019979476928710938
backtracking,21,8,True,11,3.4809112548828125e-05
forward_checking,21,8,True,9,8.869171142578125e-05
backtracking,22,8,True,23,7.033348083496094e-05
forward_checking,22,8,True,9,9.989738464355469e-05
backtracking,23,8,True,11,3.647804260253906e-05
forward_checking,23,8,True,11,0.00010061264038085938
backtracking,24,8,True,13,4.506111145019531e-05
forward_checking,24,8,True,33,0.00027632713317871094
backtracking,25,8,True,26,7.867813110351562e-05
forward_checking,25,8,True,10,9.918212890625e-05
backtracking,26,8,True,15,4.9591064453125e-05
forward_checking,26,8,True,14,0.00014591217041015625
backtracking,27,8,True,36,0.00012254714965820312
forward_checking,27,8,True,13,0.00016427040100097656
backtracking,28,8,True,68,0.00018668174743652344
forward_checking,28,8,True,41,0.00033855438232421875
backtracking,29,8,True,70,0.00016164779663085938
forward_checking,29,8,True,26,0.00028252601623535156
backtracking,0,10,True,488,0.0013904571533203125
forward_checking,0,10,True,11,0.00015211105346679688
backtracking,1,10,True,122,0.00037980079650878906
forward_checking,1,10,True,25,0.00025391578674316406
backtracking,2,10,True,140,0.00041031837463378906
forward_checking,2,10,True,11,0.00013589859008789062
backtracking,3,10,True,50,0.0001678466796875
forward_checking,3,10,True,13,0.00012874603271484375
backtracking,4,10,True,26,9.369850158691406e-05
forward_checking,4,10,True,58,0.0004954338073730469
backtracking,5,10,True,56,0.00024271011352539062
forward_checking,5,10,True,19,0.00024771690368652344
backtracking,6,10,True,140,0.00040531158447265625
forward_checking,6,10,True,14,0.00015735626220703125
backtracking,7,10,True,22,8.7738037109375e-05
forward_checking,7,10,True,35,0.0003447532653808594
backtracking,8,10,True,68,0.00026535987854003906
forward_checking,8,10,True,20,0.00021409988403320312
backtracking,9,10,True,150,0.0004401206970214844
forward_checking,9,10,True,11,0.00011849403381347656
backtracking,10,10,True,14,5.173683166503906e-05
forward_checking,10,10,True,12,0.0001342296600341797
backtracking,11,10,True,22,7.987022399902344e-05
forward_checking,11,10,True,34,0.0003139972686767578
backtracking,12,10,True,49,0.00015878677368164062
forward_checking,12,10,True,20,0.0002028942108154297
backtracking,13,10,True,18,7.104873657226562e-05
forward_checking,13,10,True,25,0.00021600723266601562
backtracking,14,10,True,438,0.0012650489807128906
forward_checking,14,10,True,34,0.0004062652587890625
backtracking,15,10,True,266,0.0007848739624023438
forward_checking,15,10,True,42,0.00040912628173828125
backtracking,16,10,True,65,0.0002319812774658203
forward_checking,16,10,True,23,0.00021386146545410156
backtracking,17,10,True,33,0.00012087821960449219
forward_checking,17,10,True,29,0.0002562999725341797
backtracking,18,10,True,118,0.0003566741943359375
forward_checking,18,10,True,11,0.0001266002655029297
backtracking,19,10,True,85,0.0002512931823730469
forward_checking,19,10,True,23,0.00020623207092285156
backtracking,20,10,True,68,0.00021004676818847656
forward_checking,20,10,True,36,0.00034046173095703125
backtracking,21,10,True,461,0.0014178752899169922
forward_checking,21,10,True,39,0.00041794776916503906
backtracking,22,10,True,139,0.00043392181396484375
forward_checking,22,10,True,34,0.00039958953857421875
backtracking,23,10,True,60,0.00019073486328125
forward_checking,23,10,True,27,0.0002193450927734375
backtracking,24,10,True,107,0.0002970695495605469
forward_checking,24,10,True,25,0.00021266937255859375
backtracking,25,10,True,55,0.00015878677368164062
forward_checking,25,10,True,11,9.131431579589844e-05
backtracking,26,10,True,324,0.0009546279907226562
forward_checking,26,10,True,31,0.00024509429931640625
backtracking,27,10,True,372,0.001026153564453125
forward_checking,27,10,True,26,0.0002391338348388672
backtracking,28,10,True,21,5.435943603515625e-05
forward_checking,28,10,True,23,0.00019407272338867188
backtracking,29,10,True,447,0.0012297630310058594
forward_checking,29,10,True,27,0.0002300739288330078
